term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Oil Price,Two big finds point to the success of a strategy based on ending a state-run company’s seven-decade monopoly on exploration and production.,,,The New York Times,2,Oil Discoveries Suggest Mexico’s Bet to Open Energy Sector Is Paying Off,Oil Discoveries Suggest Mexico’s Bet on Sector Is Paying Off,2017-07-12T15:40:20+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/07/12/business/energy-environment/mexico-energy-gas-oil.html,News,,596642ea95d0e0246f1fa0b7
Oil Price,The world’s financial community is finally rousing itself in the fight against global warming.,,,The New York Times,21,Cashing Out From the Climate Casino,Divesting From Fossil Fuels,2017-12-15T10:45:19+0000,OpEd,,article,https://www.nytimes.com/2017/12/15/opinion/finance-global-warming.html,Op-Ed,,5a33a7cb95d0e0246f21c931
Oil Price,The City Council has hesitated to give a regulator the power that let it crack down mob garbage haulers.,,,The New York Times,20,Will New York Cut Off the Fuel for Corruption?,Cutting Off the Fuel for Corruption,2017-12-18T00:45:34+0000,Editorial,,article,https://www.nytimes.com/2017/12/17/opinion/ny-city-council-corruption.html,Editorial,,5a370fbd95d0e0246f21ce85
Oil Price,Crude from West Texas shale fields is increasingly making its way abroad as a pipeline system is expanded to take it to market through Corpus Christi.,,,The New York Times,1,Oil Exports  Illegal for Decades  Now Fuel a Texas Port Boom,U.S. Oil Exports  Once Banned  Are Now a Boon,2017-07-06T01:37:13+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/07/05/business/energy-environment/oil-exports-corpus-christi-texas.html,News,,595d945295d0e02550998a56
Oil Price,The energy giant is returning to a business it backed away from after the costly and reputation-tarnishing Gulf of Mexico oil spill.,,,The New York Times,5,BP  Once a Renewables Leader  Bets $200 Million on Solar,BP Bets $200 Million on Solar Power,2017-12-15T14:28:59+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/12/15/business/energy-environment/bp-lightsource-solar.html,News,,5a33dc3895d0e0246f21c9d3
Oil Price,The acquisition of First Utility was an indication that Europe’s largest oil company was responding to pressures to shift from fossil fuels.,,,The New York Times,5,Shell  Seeking to Curb Its Carbon Footprint  Buys Electricity Provider,To Cut Carbon Footprint  Shell Buys a Utility Firm,2017-12-21T18:40:33+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/12/21/business/energy-environment/shell-first-utility-carbon-emissions.html,News,,5a3c003c95d0e0246f21da83
Oil Price,A call for creditors to meet on a restructuring deal on Nov. 13 seemed unlikely to prove fruitful  and an official denounced “financial persecution.”,,,The New York Times,6,Venezuela Summons Bondholders  but Default Appears Closer,Venezuela Summons Bondholders  but Default Appears Closer,2017-11-03T20:53:31+0000,Business,,article,https://www.nytimes.com/2017/11/03/business/venezuela-debt.html,News,,59fcd75b95d0e0246f213e42
Oil Price,Electric vehicles have only a tiny market share  but the auto industry is betting billions that they will soon be as cheap as conventional cars.,,,The New York Times,1,What Needs to Happen Before Electric Cars Take Over the World,What’s Stalling Electric Cars,2017-12-18T22:31:48+0000,Business,,article,https://www.nytimes.com/2017/12/18/business/electric-car-adoption.html,News,,5a3841e195d0e0246f21d11c
Oil Price,Despite the country’s political instability  its production has grown to 885 000 barrels a day  undercutting OPEC’s efforts to shrink supplies worldwide.,,,The New York Times,3,Libya’s Increased Oil Production Thwarts OPEC’s Reduction Plans,As OPEC Works to Shrink Crude Supplies  Libya Is Flooding the Markets With Oil,2017-06-20T20:32:30+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/06/20/business/energy-environment/oil-price-opec-libya.html,News,,5949866795d0e02550995f62
Oil Price,The prospects for opening the Arctic National Wildlife Refuge to oil and gas exploration are better than they have been in years.,,,The New York Times,9,Senate Takes Step to Approve Drilling in Arctic Wildlife Refuge,The G.O.P.’s Latest  Best Chance to Break a Drilling Impasse,2017-10-13T09:00:24+0000,Climate,,article,https://www.nytimes.com/2017/10/13/climate/arctic-drilling.html,News,,59e080ef95d0e0246f20fd3b
Oil Price,The conflict comes as the overall economy stagnates amid sanctions and low oil prices  raising the specter of Russia’s elite fighting over a smaller pie.,,,The New York Times,4,In Russia  Battle Between Rosneft and Private Firm Stirs Investment Worries,As Russian Oil Company and Private Firm Spar  Investors Worry,2017-07-17T20:02:00+0000,Business,,article,https://www.nytimes.com/2017/07/17/business/russia-rosneft-sistema-bashneft.html,News,,596d17bf95d0e0246f1fae54
Oil Price,Auction records tend to give a dazzling sheen to the international art world  but will they have a trickle-down effect on the rest of the market?,,,The New York Times,,It Was a Year of Mind-Boggling Prices  but ‘Art Is in a Funny Place’,It Was a Year of Mind-Boggling Prices  but ‘Art Is in a Funny Place’,2017-12-22T14:33:29+0000,Culture,,article,https://www.nytimes.com/2017/12/22/arts/art-market-auctions.html,News,,5a3d17c195d0e0246f21dd0f
Oil Price,For five months  The New York Times tracked 21 public hospitals in Venezuela. Doctors are seeing record numbers of children with severe malnutrition. Hundreds have died.,,,The New York Times,,As Venezuela Collapses  Children Are Dying of Hunger,,2017-12-17T05:11:19+0000,World,Americas,multimedia,https://www.nytimes.com/interactive/2017/12/17/world/americas/venezuela-children-starving.html,Interactive Feature,,5a35fc7d95d0e0246f21cd49
Oil Price,While Norway wants to wean its own citizens off fossil fuels  it remains one of the world’s biggest petroleum producers and is revving up exports.,,,The New York Times,6,Both Climate Leader and Oil Giant? A Norwegian Paradox,Oil Producer.  Climate Ally. Norway Is A Paradox.,2017-06-17T09:47:29+0000,Foreign,Europe,article,https://www.nytimes.com/2017/06/17/world/europe/norway-climate-oil.html,News,,5944fabe95d0e024b58788b2
Oil Price,The Saudi-led cartel thought low prices would squeeze American shale output. Now its effort to reverse course is proving difficult to pull off.,,,The New York Times,1,OPEC Took Aim at U.S. Oil Producers  but Hurt Itself  Too,OPEC Plan To Conquer Oil Market Backfires,2017-06-15T21:11:48+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/06/15/business/energy-environment/gas-oil-petrol-opec.html,News,,5942f81d95d0e024b5878443
Oil Price,Michael K. Wirth  with experience in pipelines and refineries  will succeed John S. Watson at a time when the company’s shares have bounced back.,,,The New York Times,4,Chevron Names New Chief  Signaling Steady Path,Promoting a Stalwart to Chief  Chevron Signals Stability,2017-09-28T16:27:03+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/09/28/business/energy-environment/chevron-chief.html,News,,59cd22e595d0e0246f20cf1e
Oil Price,European banks  tech companies and the big oil companies are all reporting their third-quarter results. And the economy is expected to have slowed.,,,The New York Times,2,A Big Week for Earnings  and an Estimate for Economic Growth,The Week Ahead; A Big Week for Earnings; Economic Growth Data,2017-10-23T00:57:06+0000,Business,,article,https://www.nytimes.com/2017/10/22/business/a-big-week-for-earnings-and-an-estimate-for-economic-growth.html,News,,59ed3e6b95d0e0246f211812
Oil Price,The arrests of four Saudi ministers and 11 princes could be the power play of a reformer. They also have the potential for great political tumult.,,,The New York Times,9,Investors Worldwide Size Up Palace Intrigue in Oil-Rich Kingdom,Investors Worldwide Size Up the Palace Intrigue in an Oil-Rich Kingdom,2017-11-06T01:43:02+0000,Business,,article,https://www.nytimes.com/2017/11/05/business/saudi-arabia-arrests-investors.html,News,,59ffbe2e95d0e0246f2141ff
Oil Price,When it comes to fancy things for the face  does leaving a natural aroma lend a certain authenticity?,,,The New York Times,3,When Good Beauty Products Smell Downright Bad,Stink Therapy: ‘Small Price to Pay’,2017-12-26T13:52:36+0000,TStyle,,article,https://www.nytimes.com/2017/12/26/t-magazine/good-beauty-products-bad-smell.html,News,,5a42543095d0e0246f21e24c
Oil Price,As the energy industry evolves  production platforms in the North Sea  once a crucial source of crude oil  are being dismantled and sold for scrap.,,,The New York Times,1,Digging the Graveyard of Oil’s Past,Slaying Monsters in the North Sea,2017-06-08T09:00:36+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/06/08/business/energy-environment/oil-north-sea-shell.html,News,,5939124095d0e024b5875f06
Oil Price,The government has made significant social changes  but progress toward diversifying the economy has been halting.,,,The New York Times,12,Saudi Arabia’s Grand Plan to Move Beyond Oil: Big Goals  Bigger Hurdles,Saudi Arabia’s Plan to Move Past Oil: Big Goals and Hurdles,2017-10-25T18:08:54+0000,Foreign,Middle East,article,https://www.nytimes.com/2017/10/25/world/middleeast/saudi-arabias-grand-plan-to-move-beyond-oil-big-goals-bigger-hurdles.html,News,,59f0d34195d0e0246f21217f
Oil Price,The restrictions on trading and sales of Venezuelan debt could increase the likelihood that the government defaults at year’s end.,,,The New York Times,5,White House Raises Pressure on Venezuela With New Financial Sanctions,U.S. Imposes New Sanctions on Venezuela to Pressure Maduro Government,2017-08-25T19:45:14+0000,Foreign,Americas,article,https://www.nytimes.com/2017/08/25/world/americas/venezuela-sanctions-maduro-trump.html,News,,59a07e4f95d0e0246f20191a
Oil Price,We’re following major developments in the markets throughout the day. Check here for the latest updates.,,,The New York Times,0,Movers: Buffett on IBM  Oil and Jobs,,2017-05-05T12:30:04+0000,Business,DealBook,article,https://www.nytimes.com/2017/05/05/business/dealbook/jobs-report-oil-prices.html,News,,590c704f95d0e024b586f229
Oil Price,The diplomatic dispute adds to instability in the world’s most important oil-exporting region  but it won’t necessarily translate into disruptions.,,,The New York Times,7,After Initial Jolt Over Qatar Tensions  Energy Markets Settle,Gulf Dispute May Not Crimp Oil Supplies,2017-06-05T11:21:22+0000,Business,Energy & Environment ,article,https://www.nytimes.com/2017/06/05/business/energy-environment/qatar-energy-arab-oil.html,News,,59353eb695d0e024b5874ae6
